"atlas_block","det_Atlas1","det_Atlas2","transition_state","common_name","alpha_code","water_open_base","developed_open_base","developed_low_base","developed_med_base","barren_land_base","forest_deciduous_base","forest_evergreen_base","forest_mixed_base","shrub_scrub_base","grassland_base","pasture_base","cropland_base","wetlands_woody_base","wetlands_herb_base","developed_high_base","developed_lower_base","developed_upper_base","pasture_crop_base","developed_total_base","forest_total_base","wetlands_total_base","water_open_diff","developed_open_diff","developed_low_diff","developed_med_diff","developed_high_diff","barren_land_diff","forest_deciduous_diff","forest_evergreen_diff","forest_mixed_diff","shrub_scrub_diff","grassland_diff","pasture_diff","cropland_diff","wetlands_woody_diff","wetlands_herb_diff","developed_lower_diff","developed_upper_diff","pasture_crop_diff","developed_total_diff","forest_total_diff","wetlands_total_diff","pa_percent","tmax_38yr","tmax_diff","tmin_38yr","tmin_diff","prcp_38yr","prcp_diff","lon","lat","sr_Atlas1","sr_Atlas2","sr_Diff","grass_pasture_crop_base","grass_pasture_crop_diff"
"4208758CE",1,1,"Persistence","Red-bellied Woodpecker","RBWO",1.11909471329623,9.58905066292184,23.4840320995406,30.1418938773121,0.0378449962797325,1.45794813337832,0,0,0.0075689992559465,0.258355299059534,1.18016564283582,20.5400176408612,0.914906392860989,5.11149005117174,6.15763149122598,33.0730827624624,36.2995253685381,21.720183283697,69.3726081310005,1.45794813337832,6.02639644403273,0.497157162965371,-4.86852190999135,4.2810778720515,14.3931104474771,4.76143477880507,-0.196793980654609,-0.0474947166214734,0,0,-0.00378449962797325,0.161724159645497,0.481250798539146,-19.4932206092401,-0.030275997023786,0.0643364936755457,-0.587444037939846,19.1545452262822,-19.0119698107009,18.5671011883424,-0.0474947166214734,0.0340604966517599,1.37448229942257,24.4524153157284,-0.0487360703317741,13.8844325166,-0.0874106256585367,97.6748477534244,4.07504372847707,659686.587164955,2201923.03118443,65,73,8,21.9785385827565,-18.8502456510554
"4208851CE",1,1,"Persistence","Red-bellied Woodpecker","RBWO",0.873515967821893,7.38745354276023,9.0040950802846,3.842922096382,0.0529874564357759,9.62688393719703,0.00756963663368228,0.22680119720891,0.0529874564357759,0.195698694688053,11.8464276502591,46.6913017355875,2.68524079325646,6.8248474580175,0.681267297031405,16.3915486230448,4.52418939341341,58.5377293858467,20.9157380164582,9.86125477103963,9.51008825127396,0.174101642574692,0.535570399584336,1.69674447990472,0.883784365294522,0.0914109554878928,-0.0454178198020937,-0.117329367822075,0,0.0113544549505234,0.0302785465347291,0.105307929008897,4.39160413315753,-7.81103926867788,-0.0189240915842057,0.0725536413884118,2.23231487948905,0.975195320782414,-3.41943513552035,3.20751020027147,-0.105974912871552,0.0536295498042065,0.289594046964338,24.7076400455676,-0.132256256906611,13.6305362801803,-0.203509682103206,100.268562015734,6.7131048503675,649522.44474997,2201062.00920406,73,81,8,58.7334280805348,-3.31412720651145
"4208852CE",1,1,"Persistence","Red-bellied Woodpecker","RBWO",10.0696504053762,7.56172218787933,9.72954641523736,3.75250805320334,0.552627143880464,16.9068351014994,0.216705249584012,0.580196837912857,0.018925587119194,0.186746928132916,8.11216578067911,27.6104173791791,5.64744557758055,8.83875565957726,0.215751693158811,17.2912686031167,3.96825974636215,35.7225831598582,21.2595283494788,17.7037371889963,14.4862012371578,-0.0941132912421256,-0.180509058562921,2.18402976803324,1.21880781047609,0.0492065265099043,-0.427718268893783,-0.575789349790799,-0.00378511742383877,-0.052991643933743,-0.0227107045430327,-0.0455127915232314,-0.670719072410753,-1.31384781048975,-0.0214873262123643,-0.0428596699928949,2.00352070947032,1.26801433698599,-1.9845668829005,3.27153504645631,-0.632566111148378,-0.0643469962052592,5.75345405967747,24.9656024230154,-0.18744408456903,13.3951400706643,-0.33881563889353,101.095445432161,6.42129416214792,639357.178579866,2200214.35717244,85,87,2,35.9093300879911,-2.03007967442373
"4208853CE",1,1,"Persistence","Red-bellied Woodpecker","RBWO",7.13653446465258,6.09378715118416,8.74024427826196,1.96615121185244,0.100278978971614,5.86545403971108,0.0605663519843251,0.919600538069359,0,0.00378539699902032,9.64259382363648,44.5654501275653,10.4227809047389,4.2746649100817,0.208107822291045,14.8340314294461,2.17425903414348,54.2080439512018,17.0082904635896,6.84562092976476,14.6974458148206,-0.0429634516680082,1.31825486714241,2.86055664172598,0.834691527365556,0.177824646298883,-0.0378539699902032,-0.10819795065779,-0.450462242883418,0.378539699902032,0,0.00378539699902032,1.44516871433683,-6.37410062859278,-0.0695949989618629,0.0643517489833449,4.17881150886839,1.01251617366444,-4.92893191425594,5.19132768253283,-0.180120493639176,-0.00524324997851799,0.9500260356121,25.2159082513107,-0.28851117585835,13.2134418236582,-0.389188917059649,104.220576236123,9.49414142809415,629190.806256271,2199380.07654879,70,74,4,54.2118293482008,-4.92514651725692
"4208854CE",1,1,"Persistence","Red-bellied Woodpecker","RBWO",2.30410190310871,7.74729503019928,9.62757425496801,4.58805432130843,0.635990371180349,7.22210542748718,0.0264995987991812,0.155211935823776,0.0113569709139348,0.114079222515934,12.8746534312971,31.3447315018437,8.52491392141976,14.3542401612656,0.469191947869079,17.3748692851673,5.0572462691775,44.2193849331408,22.4321155543448,7.40381696211013,22.8791540826853,0.376453277644748,1.00850964344752,1.90888922676545,2.28434908134215,0.258449502077181,0.0416422266844275,-0.0732823714301931,0.0113569709139348,-0.0075713139426232,-0.0075713139426232,-0.0340709127418044,1.43372334596817,-7.17985531531837,0.0108884301971859,-0.0319104776651553,2.91739887021297,2.54279858341933,-5.7461319693502,5.4601974536323,-0.0694967144588814,-0.0210220474679659,13.0974148101927,25.4593432577033,-0.409288908305921,13.2172347369947,-0.277296718798185,106.451622611598,11.1279630159077,619023.345415326,2198559.16874589,71,83,12,44.3334641556567,-5.780202882092
"4208855CE",1,1,"Persistence","Red-bellied Woodpecker","RBWO",47.3215028489825,15.74924419199,13.1618918654171,2.43751023943663,0,12.6745868246657,0,0.246083323644806,0,0.00980073439834179,2.81942109204044,2.35856116928581,2.55685172939797,0.369245992366848,0.295299988373767,28.9111360574071,2.7328102278104,5.17798226132625,31.6439462852175,12.9206701483105,2.92609772176482,-0.287821788677448,0.265157491289624,1.60201473778119,0.324597977947015,0.0605743565894906,0,-0.322816831095427,0,0,0,0.0189294864342158,0.334538265174821,-1.91705641668506,-0.0295276748404167,-0.0485896039180125,1.86717222907082,0.385172334536505,-1.58251815151024,2.25234456360732,-0.322816831095427,-0.078117278758429,1.6651871682291,25.6395094520167,-0.513407958181279,13.275068207791,-0.105675596939891,108.32504955091,10.2270792910927,608854.813622065,2197751.6352787,99,95,-4,5.18778299572459,-1.56358866507602
"4208857CE",1,1,"Persistence","Red-bellied Woodpecker","RBWO",0,4.87205284206303,2.81904225440541,0.843654227332834,0,3.00417146642885,0,0.0492221493775202,0,0,5.95134290627107,79.0770241783773,1.81036646867595,1.5693371878852,0.00378631918288617,7.69109509646843,0.84744054651572,85.0283670846483,8.53853564298415,3.05339361580637,3.37970365656115,0,-0.0692637944983412,0.527408415627568,0.12873485221813,0,0,0.0870853412063819,0,0.00378631918288617,0,0,-0.31387332950547,-0.338546801289866,0.0409384251856861,-0.066269428126964,0.458144621129226,0.12873485221813,-0.652420130795335,0.586879473347356,0.0908716603892681,-0.0253310029412779,0,25.77707862854,-0.483070574308698,13.360169787156,0.170330900894969,108.953715173822,9.99510935733193,588514.607431829,2196176.69659923,52,73,21,85.0283670846483,-0.652420130795335
"4208862SE",1,1,"Persistence","Red-bellied Woodpecker","RBWO",2.00284182992195,2.12530533969451,3.63347851048534,0.385445628054051,0.521875069598568,21.5456082362006,0,0.419346409370194,0.610208649115467,0.879915913722842,19.7983512191924,38.0660989502485,1.79590470584243,8.20424919105406,0.011370347499046,5.75878385017985,0.396815975553097,57.8644501694409,6.15559982573295,21.9649546455708,10.0001538968965,-0.408770816473455,-0.0890236818899734,0.486719970826385,0.0303209266641226,0.00758023166603064,-0.00379011583301525,0.447403953441452,0,0.00758023166603067,-0.322159845806302,-0.458565667317346,2.03946195857458,-2.04306121560472,-0.0580292859314402,0.364333356017642,0.397696288936412,0.0379011583301532,-0.00359925703013175,0.435597447266565,0.454984185107481,0.306304070086203,50.5380087483569,24.8493185043335,-0.222859934756627,13.2969127454256,-0.452136893021434,101.489899585122,8.62581493980007,638589.248971782,2209497.28962257,97,144,47,58.7443660831637,-0.462164924347478
"4208863CE",1,1,"Persistence","Red-bellied Woodpecker","RBWO",4.82676580405346,10.8987108465525,16.5767862435226,13.6389781884409,1.06601998995932,9.99916248852274,0.134477671809086,0.561387608781021,0.0455148245864155,0.0606864327818873,4.99199624669882,16.5378446502109,8.37491327021531,7.92254794124962,4.36420779261542,27.4754970900751,18.0031859810563,21.5298408969097,45.4786830711315,10.6950277691128,16.2974612114649,-0.0644260817201934,-1.00268095155101,1.7062139989424,2.47541780667633,0.864781667141894,0.208760382870262,-0.473256796266615,0.00379290204886795,-0.0265503143420757,-0.0113787061466039,0.0227574122932077,0.434110503257308,-4.15802429911577,0.0135027310769384,0.00697974483505881,0.703533047391392,3.34019947381822,-3.72391379585846,4.04373252120962,-0.496014208559821,0.0204824759119973,8.88663244961007,25.0690108349449,-0.3678852884393,13.1669346156873,-0.608791351318359,101.013829080682,10.0304854543586,628057.261244865,2213305.57028319,76,116,40,21.5905273296916,-3.70115638356525
"4208867CE",1,0,"Extinction","Red-bellied Woodpecker","RBWO",0,3.06246734793883,1.95650603818145,0.339868731811579,0,0.00518139999357482,0,0,0,0,0.117608493051839,94.517261040331,0.00110694869176633,0,0,5.01897338612028,0.339868731811579,94.6348695333828,5.35884211793186,0.00518139999357482,0.00110694869176633,0,-0.500368800336487,0.713823466679321,0.0938449445345516,0,0,0,0,0,0,0,-0.0265567564955766,-0.280742854381799,0,0,0.213454666342834,0.0938449445345516,-0.307299610877379,0.307299610877386,0,0,0,25.624785975406,-0.457963441547594,13.1642381015577,0.250883654544227,109.195841437892,12.58194391351,587454.344257627,2210107.96151206,37,46,9,94.6348695333828,-0.307299610877379
